,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,landing_aircraft_type,aircraft_body_type,aircraft_manufacturer,aircraft_model,landing_count,total_landed_weight,year,month
51,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000,2018,9
52,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,178,25632000,2018,9
53,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,86,47644000,2018,9
54,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E175,12,899484,2018,9
55,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,15,6375000,2018,9
56,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,227,101255000,2018,9
57,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,3,1050000,2018,9
58,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
59,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,1085,138880000,2018,9
60,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,30,4369500,2018,9
61,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,30,25899894,2018,9
62,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,32,15744000,2018,9
63,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,24,15984000,2018,9
64,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910,2018,9
65,Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,17,5440000,2018,9
66,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,5,2350000,2018,9
67,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,125,28000000,2018,9
68,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,247,48906000,2018,9
69,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,27,12321639,2018,9
70,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A333,22,8972810,2018,9
71,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,1,137789,2018,9
72,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,63,9216900,2018,9
73,Iberia,IB,Iberia,IB,Domestic,Europe,Passenger,Wide Body,Airbus,A332,12,4761984,2018,9
74,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B773,24,13296000,2018,9
75,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,25,19075000,2018,9
76,China Eastern,MU,China Eastern,MU,Domestic,US,Passenger,Wide Body,Boeing,B773,1,554000,2018,9
77,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,12,4748757,2018,9
78,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A332,12,4814892,2018,9
79,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,5,710990,2018,9
80,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,21,2893569,2018,9
81,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,59,23673219,2018,9
82,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,17,7225000,2018,9
83,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
84,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,75,34500000,2018,9
85,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B789,9,3825000,2018,9
86,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,85,12281400,2018,9
87,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,5,710990,2018,9
88,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,171,24624000,2018,9
89,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,5,42500,2018,9
90,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,601,45049157,2018,9
91,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,8,3183474,2018,9
92,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,147,62475000,2018,9
93,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E175,379,28408703,2018,9
94,French Bee,BF,French Bee,BF,International,Australia / Oceania,Passenger,Wide Body,Airbus,A359,13,5932641,2018,9
95,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,325,35750000,2018,9
96,Alaska Airlines,AS,Alaska Airlines,AS,International,US,Passenger,Narrow Body,Airbus,A321,232,40508592,2018,9
97,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,372,63805440,2018,9
98,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,4,1591737,2018,9
99,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,29,12325000,2018,9
100,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,29,18270000,2018,9
101,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B773,7,3878000,2018,9
102,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A319,5,688940,2018,9
103,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,30,20640000,2018,9
104,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,23,8050000,2018,9
105,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,819,140458500,2018,9
106,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000,2018,9
107,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,71,10129128,2018,9
108,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,1233,57951000,2018,9
109,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,30,13690710,2018,9
110,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,43,18275000,2018,9
111,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,24,9120000,2018,9
112,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,18,1349226,2018,9
113,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B788,30,11400000,2018,9
114,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,53,3978025,2018,9
115,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
116,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
117,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A319,341,46985708,2018,9
118,French Bee,BF,French Bee,BF,International,Europe,Passenger,Wide Body,Airbus,A359,11,5019927,2018,9
119,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,4,537928,2018,9
120,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210,2018,9
121,Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,212,15937736,2018,9
122,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,30,12698612,2018,9
123,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,45,19125000,2018,9
124,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,73,9431600,2018,9
125,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,17,7225000,2018,9
126,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Airbus,A359,30,13558440,2018,9
127,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1304,205286400,2018,9
128,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Freighter,Wide Body,Boeing,B772,1,575000,2018,9
129,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,6,2760624,2018,9
130,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,10,5540000,2018,9
131,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,22,14340000,2018,9
132,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,30,18900000,2018,9
133,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,57,31578000,2018,9
134,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A320,54,7718376,2018,9
135,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
136,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,40,13040000,2018,9
137,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3260000,2018,9
138,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,1,554000,2018,9
139,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,19,6080000,2018,9
140,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,24,3775200,2018,9
141,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,97,7270829,2018,9
142,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,16,2347300,2018,9
143,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,34,4572388,2018,9
144,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A321,3,514560,2018,9
145,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
146,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,60,8778000,2018,9
147,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1,142198,2018,9
148,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,17,2674100,2018,9
149,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Boeing,B738,120,18336000,2018,9
150,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1428,208916400,2018,9
151,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,13,6396000,2018,9
152,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B773,18,9972000,2018,9
153,Finnair,AY,Finnair,AY,International,Asia,Passenger,Wide Body,Airbus,A333,2,824528,2018,9
154,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B788,19,7220000,2018,9
155,ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Passenger,Narrow Body,Airbus,A320,26,3710376,2018,9
156,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A320,1140,162783655,2018,9
157,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,119,18564700,2018,9
158,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B773,45,24930000,2018,9
159,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,46,6729800,2018,9
160,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B738,230,33649000,2018,9
161,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,40,12400000,2018,9
162,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3700455,2018,9
163,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E175,35,2626589,2018,9
164,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,5,688945,2018,9
165,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,93,51522000,2018,8
166,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A319,1,137700,2018,8
167,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,23,3093086,2018,8
168,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1660,233566413,2018,8
169,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1445,211403500,2018,8
170,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3716990,2018,8
171,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,29,10150000,2018,8
172,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,12,1613784,2018,8
173,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2018,8
174,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,117,8769969,2018,8
175,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,25,15869000,2018,8
176,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,31,13175000,2018,8
177,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A333,24,9788520,2018,8
178,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,23,195500,2018,8
179,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,31,12643505,2018,8
180,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B789,3,1275000,2018,8
181,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,2,396000,2018,8
182,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A319,4,551152,2018,8
183,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,238,15946000,2018,8
184,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,18,8856000,2018,8
185,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A320,81,11584178,2018,8
186,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,62,28520000,2018,8
187,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,30,2248710,2018,8
188,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,239,26290000,2018,8
189,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,31,13175000,2018,8
190,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,94,13556700,2018,8
191,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,41,15580000,2018,8
192,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000,2018,8
193,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000,2018,8
194,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,90,6752760,2018,8
195,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,31,1457000,2018,8
196,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3274000,2018,8
197,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000,2018,8
198,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,23,7378000,2018,8
199,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26775129,2018,8
200,French Bee,BF,French Bee,BF,International,Australia / Oceania,Passenger,Wide Body,Airbus,A359,12,5476284,2018,8
201,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,31,21328000,2018,8
202,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,18,2325600,2018,8
203,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210,2018,8
204,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B773,31,17174000,2018,8
205,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,13,2229760,2018,8
