,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,landing_aircraft_type,aircraft_body_type,aircraft_manufacturer,aircraft_model,landing_count,total_landed_weight,year,month
2252,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B744,1,652000,2017,7
2253,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B772,14,6888000,2017,7
2254,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B748,25,19075000,2017,7
2255,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,25,1877500,2017,7
2256,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,36,4841352,2017,7
2257,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,294,46246200,2017,7
2258,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B736,2,241000,2017,7
2259,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A333,13,5359432,2017,7
2260,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A333,4,1631420,2017,7
2261,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,31,2323667,2017,7
2262,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,15,6283170,2017,7
2263,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,40,13040000,2017,7
2264,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,1178,150784000,2017,7
2265,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,254,19039078,2017,7
2266,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,31,1457000,2017,7
2267,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,7,964516,2017,7
2268,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,107,34240000,2017,7
2269,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,31,13175000,2017,7
2270,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,4,1840416,2017,7
2271,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,31,12643505,2017,7
2272,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,1,350000,2017,7
2273,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B773,39,21606000,2017,7
2274,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,48,6984240,2017,7
2275,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,325,21775000,2017,7
2276,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,8,3400000,2017,7
2277,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210,2017,7
2278,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,437,97888000,2017,7
2279,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,46,5943200,2017,7
2280,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2017,7
2281,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,45,6583500,2017,7
2282,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,62,24876942,2017,7
2283,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B763,9,2880000,2017,7
2284,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B744,90,56700000,2017,7
2285,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,2,275578,2017,7
2286,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,36,4947176,2017,7
2287,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,10,3968320,2017,7
2288,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Airbus,A359,48,21905316,2017,7
2289,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,3,433208,2017,7
2290,Air Berlin,AB,Air Berlin,AB,International,Europe,Passenger,Wide Body,Airbus,A332,49,19660809,2017,7
2291,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2017,7
2292,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,237,32655756,2017,7
2293,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,243,34992000,2017,7
2294,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A333,2,824528,2017,7
2295,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26761901,2017,7
2296,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B789,1,425000,2017,7
2297,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,31,26722217,2017,7
2298,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B744,2,1306000,2017,7
2299,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,24,18312000,2017,7
2300,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1633,233320486,2017,7
2301,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,30,12750000,2017,7
2302,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,B744,5,3260000,2017,7
2303,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,2,1304000,2017,7
2304,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,31,21142000,2017,7
2305,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A319,1,137789,2017,7
2306,Cathay Pacific,CX,Cathay Pacific,CX,Domestic,US,Passenger,Wide Body,Boeing,B773,1,554000,2017,7
2307,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,30,20460000,2017,7
2308,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,8,1170400,2017,7
2309,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,14,9128000,2017,7
2310,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,60,25500000,2017,7
2311,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,1,470000,2017,7
2312,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B734,2,242000,2017,7
2313,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,47,17860000,2017,7
2314,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1270,199661000,2017,7
2315,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,7,2975000,2017,7
2316,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,62,8816276,2017,7
2317,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B788,32,12160000,2017,7
2318,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,287,44177100,2017,7
2319,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B733,82,9348000,2017,7
2320,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,31,19530000,2017,7
2321,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B773,27,14958000,2017,7
2322,Swiss International,LX,Swiss International,LX,International,Asia,Passenger,Wide Body,Boeing,B773,2,1048000,2017,7
2323,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A321,16,2744304,2017,7
2324,American Airlines,AA,American Airlines,AA,International,Asia,Passenger,Wide Body,Boeing,B789,1,425000,2017,7
2325,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ7,35,2628500,2017,7
2326,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,60,4510680,2017,7
2327,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B744,123,77490000,2017,7
2328,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,19,7561853,2017,7
2329,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,25,15841000,2017,7
2330,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,133,19363600,2017,7
2331,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,63,9216900,2017,7
2332,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,893,153149500,2017,7
2333,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B744,1,574000,2017,7
2334,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,121,17334931,2017,7
2335,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,82,11660236,2017,7
2336,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2017,7
2337,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,993,74432301,2017,7
2338,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,83,12120700,2017,7
2339,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A321,14,2401280,2017,7
2340,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,185,25490780,2017,7
2341,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,12,7992000,2017,7
2342,Virgin America,VX,Virgin America,VX,International,US,Passenger,Narrow Body,Airbus,A321,63,11000178,2017,7
2343,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B738,17,2448000,2017,7
2344,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1074,152654517,2017,7
2345,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,38,5529190,2017,7
2346,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,27,13284000,2017,7
2347,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,8,1075856,2017,7
2348,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,5,2310000,2017,7
2349,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,212,30145976,2017,7
2350,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ9,18,1351800,2017,7
2351,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,180,25920000,2017,7
2352,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,6,402000,2017,7
2353,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000,2017,7
2354,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,74,40996000,2017,7
2355,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,78,11091444,2017,7
2356,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,25,13850000,2017,7
2357,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,51,28254000,2017,7
2358,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,84,31920000,2017,7
2359,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,9,3602352,2017,7
2360,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,89,13989700,2017,7
2361,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,5,646000,2017,7
2362,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,20,170000,2017,7
2363,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,1509,70923000,2017,7
2364,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B772,1,460000,2017,7
2365,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2017,7
2366,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,8,1033600,2017,7
2367,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,224,31885422,2017,7
2368,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,39,5674695,2017,6
2369,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,16,7361664,2017,6
2370,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,30,13691790,2017,6
2371,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,62,9752600,2017,6
2372,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC10,1,374500,2017,6
2373,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000,2017,6
2374,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,25,15834000,2017,6
2375,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,28,11900000,2017,6
2376,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B744,1,574000,2017,6
2377,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,30,25886666,2017,6
2378,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,62,26350000,2017,6
2379,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B789,2,850000,2017,6
2380,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,14,1808800,2017,6
2381,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,11,5170000,2017,6
2382,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,8,3234180,2017,6
2383,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B744,2,1260000,2017,6
2384,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1074,157126200,2017,6
2385,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,25,12300000,2017,6
2386,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,2,640000,2017,6
2387,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,22,187000,2017,6
2388,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,319,54714242,2017,6
2389,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ7,42,3154200,2017,6
2390,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,44,14344000,2017,6
2391,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B744,134,84420000,2017,6
2392,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,14,9324000,2017,6
2393,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,283,18961000,2017,6
2394,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910,2017,6
2395,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,29,12325000,2017,6
2396,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2017,6
2397,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,191,27192888,2017,6
2398,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,28,2098796,2017,6
2399,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B733,78,8892000,2017,6
2400,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,95,13834100,2017,6
2401,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,27,3631014,2017,6
2402,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,62,9049000,2017,6
2403,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,7,4592000,2017,6
2404,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,B772,30,13800000,2017,6
2405,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,221,34763300,2017,6
2406,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,93,13224414,2017,6
2407,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,38,5559400,2017,6
2408,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,148,33152000,2017,6
2409,Virgin America,VX,Virgin America,VX,International,US,Passenger,Narrow Body,Airbus,A321,50,8730300,2017,6
2410,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ7,6,402000,2017,6
2411,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,45,5814000,2017,6
2412,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B738,7,1008000,2017,6
2413,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,26,17316000,2017,6
2414,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B734,1,121000,2017,6
2415,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000,2017,6
2416,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,18,2633400,2017,6
2417,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816,2017,6
2418,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,30,20460000,2017,6
2419,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,30,4133641,2017,6
2420,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,30,12235650,2017,6
2421,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,43,6256715,2017,6
2422,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,46,25484000,2017,6
2423,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,8,1024000,2017,6
2424,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,26,19838000,2017,6
2425,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,5,1988569,2017,6
2426,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A321,31,5317120,2017,6
2427,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,304,47049200,2017,6
2428,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,59,8631700,2017,6
2429,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,12,7824000,2017,6
2430,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,113,35685000,2017,6
2431,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,271,120985000,2017,6
2432,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B772,13,6396000,2017,6
2433,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,2,1108000,2017,6
2434,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,29,19778000,2017,6
2436,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A333,13,5359432,2017,6
2437,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,17,6781416,2017,6
2438,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210,2017,6
2439,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,9,603000,2017,6
2440,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2017,6
2441,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3697148,2017,6
2442,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,27,3623400,2017,6
2443,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,185,20350000,2017,6
2444,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B739,57,8845100,2017,6
2445,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,334,66132000,2017,6
2446,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,80,34000000,2017,6
2447,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1614,230536049,2017,6
2448,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,202,29088000,2017,6
2449,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,554,109692000,2017,6
2450,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B788,28,10640000,2017,6
2451,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,265,19863605,2017,6
2452,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910,2017,6
2453,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,41,5853267,2017,6
2454,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,3,1390000,2017,6
2455,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ9,19,1426900,2017,6
2456,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,81,6089418,2017,6
2457,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,13,5525000,2017,6
2458,Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,13,5359432,2017,6
2459,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,73,40442000,2017,6
2460,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A333,3,1223565,2017,6
2461,Air Berlin,AB,Air Berlin,AB,International,Europe,Passenger,Wide Body,Airbus,A332,47,18858327,2017,6
2462,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,1,350000,2017,6
2463,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,6,3324000,2017,6
2464,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B748,26,19838000,2017,6
2465,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,1,492000,2017,6
2466,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,50,19000000,2017,6
2467,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,28,11852036,2017,6
2468,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1406,221093800,2017,6
2469,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,68,37672000,2017,6
2470,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,30,4127056,2017,6
2471,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,27,17010000,2017,6
2472,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,4,585200,2017,6
2473,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B772,1,470000,2017,6
2474,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,30,4133643,2017,6
